APC 18x10e

 2  0.202    ! Nblades  [ R ]

 0.65  6.25  ! CL0     CL_a
 -0.5  1.6   ! CLmin   CLmax

 0.013  0.050  0.015 0.85  !  CD0    CD2u   CD2l   CLCD0 
 175000  -0.4              !  REref  REexp

 0.01    0.01     1.0  !  Rfac   Cfac   Bfac  
 0.0     0.0      0.0  !  Radd   Cadd   Badd  

# r    chord   beta
 3.50  2.50  47.4  
 4.00  2.69  46.8  
 5.00  2.97  39.3  
 5.95  3.18  33.8  
 7.15  3.31  28.4  
 8.60  3.34  23.1
 10.80 3.13  18.1
 12.50 2.85  15.3
 14.16 2.48  13.2
 15.50 2.15  11.8
 17.12 1.73  10.3
 18.0  1.53  9.6
 19.0  1.30  8.9
 19.5  1.16  8.6
 19.80 1.04  8.4
 20.0  0.90  8.3
