 
# QPROP Version 1.22
# 
# APC 12x6  folder                                                                
# 
# PropDrive v2                                                                    
#   0.12000      motor parameter 1 ,  R  (Ohms) 
#   0.80000      motor parameter 2 ,  Io (Amps) 
#    650.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.1240     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   7176.      0.000   18.20      0.3995       300.2      14.400   27.9944   0.7448   0.0000   0.00000  0.3383E-01  0.4874E-02  21.0658   0.0000   403.1       0.000       1.3351  0.7385E-01
    1.000   7171.      0.000   17.86      0.4005       300.8      14.400   28.0607   0.7443   0.0594   0.00874  0.3325E-01  0.4893E-02  19.8936   0.0442   404.1       17.86       1.3106  0.7069E-01
    2.000   7174.      0.000   17.55      0.4000       300.5      14.400   28.0240   0.7446   0.1168   0.01747  0.3264E-01  0.4882E-02  18.7816   0.0870   403.5       35.09       1.2843  0.6578E-01
    3.000   7177.      0.000   17.21      0.3994       300.2      14.400   27.9866   0.7449   0.1720   0.02619  0.3200E-01  0.4871E-02  17.7070   0.1281   403.0       51.64       1.2567  0.6112E-01
    4.000   7181.      0.000   16.86      0.3987       299.8      14.400   27.9376   0.7452   0.2250   0.03490  0.3131E-01  0.4857E-02  16.6678   0.1676   402.3       67.44       1.2272  0.5675E-01
    5.000   7186.      0.000   16.48      0.3976       299.3      14.400   27.8672   0.7457   0.2754   0.04360  0.3056E-01  0.4837E-02  15.6626   0.2054   401.3       82.41       1.1953  0.5270E-01
    6.000   7196.      0.000   16.10      0.3958       298.2      14.400   27.7389   0.7467   0.3238   0.05224  0.2976E-01  0.4801E-02  14.7016   0.2418   399.4       96.59       1.1612  0.4803E-01
    7.000   7206.      0.000   15.67      0.3940       297.3      14.400   27.6210   0.7475   0.3690   0.06087  0.2890E-01  0.4768E-02  13.7656   0.2758   397.7       109.7       1.1249  0.4471E-01
    8.000   7219.      0.000   15.24      0.3915       296.0      14.400   27.4518   0.7488   0.4118   0.06944  0.2800E-01  0.4721E-02  12.8705   0.3084   395.3       121.9       1.0865  0.4109E-01
    9.000   7232.      0.000   14.77      0.3890       294.6      14.400   27.2804   0.7500   0.4512   0.07798  0.2704E-01  0.4673E-02  12.0042   0.3384   392.8       132.9       1.0464  0.3885E-01
   10.000   7248.      0.000   14.30      0.3861       293.0      14.400   27.0807   0.7515   0.4879   0.08645  0.2606E-01  0.4618E-02  11.1812   0.3666   390.0       143.0       1.0058  0.3673E-01
   11.000   7266.      0.000   13.82      0.3827       291.2      14.400   26.8510   0.7531   0.5220   0.09487  0.2506E-01  0.4555E-02  10.4006   0.3931   386.7       152.0       0.9646  0.3474E-01
   12.000   7286.      0.000   13.34      0.3789       289.1      14.400   26.5898   0.7550   0.5536   0.10320  0.2405E-01  0.4484E-02   9.6615   0.4180   382.9       160.0       0.9229  0.3290E-01
   13.000   7309.      0.000   12.85      0.3746       286.7      14.400   26.2956   0.7571   0.5827   0.11145  0.2303E-01  0.4405E-02   8.9624   0.4411   378.7       167.0       0.8810  0.3122E-01
   14.000   7335.      0.000   12.36      0.3697       284.0      14.400   25.9669   0.7595   0.6093   0.11960  0.2200E-01  0.4318E-02   8.3021   0.4627   373.9       173.0       0.8388  0.2969E-01
   15.000   7363.      0.000   11.86      0.3644       281.0      14.400   25.6026   0.7621   0.6334   0.12765  0.2095E-01  0.4223E-02   7.6789   0.4827   368.7       178.0       0.7965  0.2833E-01
   16.000   7394.      0.000   11.37      0.3585       277.6      14.400   25.2014   0.7649   0.6552   0.13558  0.1991E-01  0.4119E-02   7.0910   0.5012   362.9       181.9       0.7542  0.2715E-01
   17.000   7429.      0.000   10.87      0.3520       273.9      14.400   24.7623   0.7680   0.6745   0.14339  0.1885E-01  0.4008E-02   6.5369   0.5181   356.6       184.7       0.7120  0.2613E-01
   18.000   7466.      0.000   10.36      0.3450       269.7      14.400   24.2844   0.7714   0.6915   0.15107  0.1780E-01  0.3889E-02   6.0146   0.5334   349.7       186.5       0.6701  0.2529E-01
   19.000   7506.      0.000   9.856      0.3374       265.2      14.400   23.7668   0.7749   0.7061   0.15861  0.1675E-01  0.3762E-02   5.5223   0.5472   342.2       187.3       0.6285  0.2461E-01
   20.000   7550.      0.000   9.346      0.3292       260.3      14.400   23.2090   0.7788   0.7182   0.16599  0.1570E-01  0.3629E-02   5.0584   0.5593   334.2       186.9       0.5873  0.2410E-01
   21.000   7596.      0.000   8.834      0.3204       254.9      14.400   22.6102   0.7829   0.7278   0.17322  0.1466E-01  0.3488E-02   4.6209   0.5698   325.6       185.5       0.5467  0.2374E-01
   22.000   7646.      0.000   8.319      0.3110       249.0      14.400   21.9702   0.7872   0.7349   0.18028  0.1362E-01  0.3342E-02   4.2082   0.5785   316.4       183.0       0.5066  0.2354E-01
   23.000   7699.      0.000   7.801      0.3010       242.7      14.400   21.2886   0.7917   0.7393   0.18718  0.1260E-01  0.3190E-02   3.8187   0.5853   306.6       179.4       0.4673  0.2348E-01
   24.000   7756.      0.000   7.280      0.2904       235.8      14.400   20.5652   0.7964   0.7409   0.19389  0.1159E-01  0.3033E-02   3.4507   0.5900   296.1       174.7       0.4287  0.2354E-01
   25.000   7816.      0.000   6.756      0.2791       228.5      14.400   19.7998   0.8013   0.7394   0.20043  0.1059E-01  0.2871E-02   3.1027   0.5924   285.1       168.9       0.3910  0.2373E-01
   26.000   7879.      0.000   6.229      0.2673       220.5      14.400   18.9926   0.8063   0.7345   0.20678  0.9609E-02  0.2705E-02   2.7734   0.5922   273.5       162.0       0.3541  0.2403E-01
   27.000   7945.      0.000   5.699      0.2548       212.0      14.400   18.1435   0.8114   0.7258   0.21294  0.8644E-02  0.2536E-02   2.4614   0.5889   261.3       153.9       0.3182  0.2443E-01
   28.000   8014.      0.000   5.165      0.2417       202.9      14.400   17.2528   0.8165   0.7129   0.21892  0.7699E-02  0.2364E-02   2.1654   0.5821   248.4       144.6       0.2832  0.2491E-01
   29.000   8087.      0.000   4.627      0.2280       193.1      14.400   16.3207   0.8216   0.6949   0.22470  0.6774E-02  0.2190E-02   1.8843   0.5710   235.0       134.2       0.2493  0.2548E-01
   30.000   8163.      0.000   4.085      0.2137       182.7      14.400   15.3475   0.8266   0.6709   0.23028  0.5870E-02  0.2015E-02   1.6169   0.5546   221.0       122.6       0.2164  0.2610E-01

